,id,fullname,born,unique_price_years,unique_price_categories,gender,country_name
229,234,Ronald G.W. Norrish,1897-11-09,{'1967'},{'chemistry'},male,United Kingdom
230,235,George Porter,1920-12-06,{'1967'},{'chemistry'},male,United Kingdom
231,236,Lars Onsager,1903-11-27,{'1968'},{'chemistry'},male,Norway
232,237,Derek Barton,1918-09-08,{'1969'},{'chemistry'},male,United Kingdom
233,238,Odd Hassel,1897-05-17,{'1969'},{'chemistry'},male,Norway
234,239,Luis Leloir,1906-09-06,{'1970'},{'chemistry'},male,France
235,240,Gerhard Herzberg,1904-12-25,{'1971'},{'chemistry'},male,Württemberg
236,241,Christian Anfinsen,1916-03-26,{'1972'},{'chemistry'},male,USA
237,242,Stanford Moore,1913-09-04,{'1972'},{'chemistry'},male,USA
238,243,William H. Stein,1911-06-25,{'1972'},{'chemistry'},male,USA
239,244,Ernst Otto Fischer,1918-11-10,{'1973'},{'chemistry'},male,Württemberg
240,245,Geoffrey Wilkinson,1921-07-14,{'1973'},{'chemistry'},male,United Kingdom
241,246,Paul J. Flory,1910-06-19,{'1974'},{'chemistry'},male,USA
242,247,John Cornforth,1917-09-07,{'1975'},{'chemistry'},male,Australia
243,248,Vladimir Prelog,1906-07-23,{'1975'},{'chemistry'},male,Bosnia and Herzegovina
244,249,William Lipscomb,1919-12-09,{'1976'},{'chemistry'},male,USA
245,250,Ilya Prigogine,1917-01-25,{'1977'},{'chemistry'},male,USSR
246,251,Peter Mitchell,1920-09-29,{'1978'},{'chemistry'},male,United Kingdom
247,252,Herbert C. Brown,1912-05-22,{'1979'},{'chemistry'},male,United Kingdom
248,253,Georg Wittig,1897-06-16,{'1979'},{'chemistry'},male,Württemberg
249,254,Paul Berg,1926-06-30,{'1980'},{'chemistry'},male,USA
250,255,Walter Gilbert,1932-03-21,{'1980'},{'chemistry'},male,USA
251,257,Kenichi Fukui,1918-10-04,{'1981'},{'chemistry'},male,Japan
252,258,Roald Hoffmann,1937-07-18,{'1981'},{'chemistry'},male,Ukraine
253,259,Aaron Klug,1926-08-11,{'1982'},{'chemistry'},male,Lithuania
254,260,Henry Taube,1915-11-30,{'1983'},{'chemistry'},male,Canada
255,261,Bruce Merrifield,1921-07-15,{'1984'},{'chemistry'},male,USA
256,262,Herbert A. Hauptman,1917-02-14,{'1985'},{'chemistry'},male,USA
257,263,Jerome Karle,1918-06-18,{'1985'},{'chemistry'},male,USA
258,264,Dudley R. Herschbach,1932-06-18,{'1986'},{'chemistry'},male,USA
259,265,Yuan T. Lee,1936-11-19,{'1986'},{'chemistry'},male,Taiwan
260,266,John C. Polanyi,1929-01-23,{'1986'},{'chemistry'},male,Württemberg
261,267,Donald J. Cram,1919-04-22,{'1987'},{'chemistry'},male,USA
262,268,Jean-Marie Lehn,1939-09-30,{'1987'},{'chemistry'},male,France
263,269,Charles J. Pedersen,1904-10-03,{'1987'},{'chemistry'},male,South Korea
264,270,Johann Deisenhofer,1943-09-30,{'1988'},{'chemistry'},male,Württemberg
265,271,Robert Huber,1937-02-20,{'1988'},{'chemistry'},male,Württemberg
266,272,Hartmut Michel,1948-07-18,{'1988'},{'chemistry'},male,Württemberg
267,273,Sidney Altman,1939-05-07,{'1989'},{'chemistry'},male,Canada
268,274,Thomas R. Cech,1947-12-08,{'1989'},{'chemistry'},male,USA
269,275,Elias James Corey,1928-07-12,{'1990'},{'chemistry'},male,USA
270,276,Richard R. Ernst,1933-08-14,{'1991'},{'chemistry'},male,Switzerland
271,277,Rudolph A. Marcus,1923-07-21,{'1992'},{'chemistry'},male,Canada
272,278,Kary B. Mullis,1944-12-28,{'1993'},{'chemistry'},male,USA
273,279,Michael Smith,1932-04-26,{'1993'},{'chemistry'},male,United Kingdom
274,280,George A. Olah,1927-05-22,{'1994'},{'chemistry'},male,Hungary
275,281,Paul J. Crutzen,1933-12-03,{'1995'},{'chemistry'},male,the Netherlands
276,282,Mario J. Molina,1943-03-19,{'1995'},{'chemistry'},male,Mexico
277,283,F. Sherwood Rowland,1927-06-28,{'1995'},{'chemistry'},male,USA
